State,County,FFRPTH14,PCT_NHWHITE10,PCT_NHBLACK10,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS13,MEDHHINC15,POVRATE15,FMRKTPTH16
CO,Hinsdale,0,93.23843416,0.355871886,6.6,20.5,58613,10.9,0
CO,Huerfano,0.619003405,61.85367307,0.327819997,7.6,20.1,33098,23.2,0.29953572
CO,Jackson,0,87.44619799,0,6.6,21.4,46905,13.9,0
CO,Jefferson,0.759172287,79.91125129,0.93556552,5.4,18.3,71209,7.9,0.019236251
CO,Kiowa,0,93.27610873,0.214592275,7.7,19.5,42108,13.9,0
CO,Kit Carson,0.991080278,76.42079807,2.623941959,7.3,27.6,44090,12.2,0
CO,Lake,0.679624847,58.16689466,0.300957592,5.4,17.5,45913,15.7,0
CO,La Plata,0.852025413,80.34635914,0.34285269,4.8,16.3,60732,9.4,0.035956349
CO,Larimer,0.777485021,84.4531589,0.753929847,5.2,18.7,64935,12.2,0.035294844
CO,Las Animas,0.782806718,54.16263623,1.257496614,7.7,21,38858,19.3,0.070906899
CO,Lincoln,0.54446461,79.47686117,5.121638924,7.6,23.8,43188,19.4,0
CO,Logan,0.577162138,78.18045709,3.879519133,7,25.4,46306,15.5,0
CO,Mesa,0.613807291,83.11171391,0.528887768,7.2,23.5,51449,14.1,0.019988939
CO,Mineral,1.432664756,95.2247191,0.280898876,6.8,18.1,50481,9.4,1.366120219
CO,Moffat,0.386757426,82.72562523,0.231968104,6.3,25.8,59173,11.7,0.076283469
CO,Montezuma,0.543225206,75.06559624,0.184061093,6.5,21.7,42975,19.3,0.148153635
CO,Montrose,0.538252636,77.50024227,0.285880415,8.1,19.7,46860,17.7,0.024113236
CO,Morgan,0.388308387,61.68542917,2.681203168,7.4,26.9,49087,12.1,0.035368183
CO,Otero,0.594980528,56.49726515,0.493866497,6.8,26.9,34970,20.6,0
CO,Ouray,1.29617628,93.39495041,0.135256988,6.7,18.6,60402,9.4,0.411776817
CO,Park,0.305903946,91.58336419,0.425768234,6.7,20.5,63319,9.2,0.05825469
CO,Phillips,0.458400183,79.37865826,0.315173345,7.8,22.8,48562,11.1,0
